experiment	score	max_score	pass_rate	status	description
0	8	9	88.9%	baseline	original skill — no changes
1	9	9	100.0%	keep	added explicit refusal instruction for out-of-scope queries
2	13	13	100.0%	keep	changed action plan to explicit 7-column table template with example row
3	16	16	100.0%	keep	added inline thresholds and combination diagnosis rules to Quick Reference
